k0,S
363106.80478059076,16.208185304133966
348.50393939626963,24.05200526107056
594.9007925033712,20.093795294232805
348.50393939626963,24.05200526107056
531270.2028384676,20.517150412920337
520.3591638185201,22.473371528584337
484.4557168048883,20.517150412920337
540.5357814332062,22.198732265900087
714456.1725921652,17.614810931166033
331.11054684954513,16.208185304133966
625786159.7125531,22.473371528584337
305565607.3024911,18.770567068733794
404540.6517109406,22.001370075081734
373512828.85272133,15.937307260687572
695.8735017471298,22.70923923487962
628151967.6992867,18.897555609140987
200.3201054465929,15.387894512575288
458.63990454745857,17.35344968247749
470.913824207547,18.939712209213774
522.3264011033737,18.897555609140987
459933429.8065446,16.84027853807175
553128447.2930204,18.207342985334527
570450359.8540725,22.664006120733177
625786159.7125531,22.473371528584337
390759572.57982725,16.688115503521512
510.23281232393373,19.660789262109958
368.8933246288775,22.001370075081734
551562314.097698,17.35344968247749
219677.66993261903,15.387894512575288
375.69687869056105,22.975459204892545
516419.7143883462,18.939712209213774
382164.85556229966,22.107346880674683
390759572.57982725,16.688115503521512
363106.80478059076,16.208185304133966
278639.76659285504,18.770567068733794
641945948.6829633,22.865782470332796
522.3264011033737,18.897555609140987
456218.625579299,23.766689168085854
260616.06233379466,17.113125967168365
682041.3422469895,22.03754838073231
219677.66993261903,15.387894512575288
714456.1725921652,17.614810931166033
652387.935034565,20.093795294232805
439665653.2122644,22.132645961143105
241249.57187147485,23.584618906450366
570643.1133354953,22.473371528584337
592769.4612366919,22.198732265900087
419404.999996222,16.84027853807175
200.3201054465929,15.387894512575288
363106.80478059076,16.208185304133966
237.65108717601902,17.113125967168365
551562314.097698,17.35344968247749
310.5866441446535,15.937307260687572
695.8735017471298,22.70923923487962
650050646.4959292,22.198732265900087
650050646.4959292,22.198732265900087
382164.85556229966,22.107346880674683
348.50393939626963,24.05200526107056
244020098.9083883,17.114274178730486
244020098.9083883,17.114274178730486
629340291.8646045,16.718815658214268
613608166.0222052,19.660789262109958
520.3591638185201,22.473371528584337
613608166.0222052,19.660789262109958
264562279.9709289,23.584618906450366
641945948.6829633,22.865782470332796
310.5866441446535,15.937307260687572
572800.4509725625,18.897555609140987
237.65108717601902,17.113125967168365
459933429.8065446,16.84027853807175
363106.80478059076,16.208185304133966
474.3458570416262,22.664006120733177
264562279.9709289,23.584618906450366
419112330.56625557,24.05200526107056
559538.2205126303,19.660789262109958
651.4996989659003,17.614810931166033
695.8735017471298,22.70923923487962
375.69687869056105,22.975459204892545
382.4478557599468,16.84027853807175
443632692.5984759,22.001370075081734
331.11054684954513,16.208185304133966
613608166.0222052,19.660789262109958
285800215.5742973,17.113125967168365
570450359.8540725,22.664006120733177
651226198.7140273,19.733097492462406
382164.85556229966,22.107346880674683
365.5946174494277,22.132645961143105
443632692.5984759,22.001370075081734
310.5866441446535,15.937307260687572
504387.855721677,18.207342985334527
